Designator;Mid X;Mid Y;Rotation;Layer
R61;188.5;-96.0;270.0;top
R62;172.0;-96.0;270.0;top
R63;170.5;-96.0;270.0;top
R64;181.0;-96.0;270.0;top
R65;179.5;-96.0;270.0;top
R66;136.0;-96.0;90.0;top
R67;134.5;-96.0;90.0;top
R68;145.0;-96.0;90.0;top
R69;143.5;-96.0;90.0;top
R7;173.5;-96.0;270.0;top
R70;154.0;-96.0;90.0;top
R71;152.5;-96.0;90.0;top
R72;102.0;-79.0;0.0;top
R73;102.0;-76.0;180.0;top
R74;182.5;-77.0;90.0;top
R75;186.5;-77.0;90.0;top
R76;190.0;-77.0;90.0;top
R79;202.0;-87.0;270.0;top
R8;173.0;-102.5;0.0;top
R80;201.0;-87.0;90.0;top
R81;201.0;-84.5;270.0;top
R83;107.6;-111.8;270.0;top
R84;108.7;-111.8;90.0;top
R9;175.0;-102.5;0.0;top
SW1;148.5;-72.0;270.0;top
SW2;168.5;-75.5;180.0;top
SW3;176.5;-86.5;180.0;top
SW4;168.5;-86.5;180.0;top
SW5;176.5;-75.5;180.0;top
U1;156.5;-87.0;270.0;top
U10;129.0;-99.5;0.0;top
U11;107.0;-79.0;0.0;top
U12;198.5;-86.0;270.0;top
U13;112.45;-111.5;180.0;top
U2;165.0;-99.5;0.0;top
U3;138.0;-99.5;0.0;top
U4;147.0;-99.5;0.0;top
U5;156.0;-99.5;0.0;top
U6;201.0;-99.5;0.0;top
U7;192.0;-99.5;0.0;top
U8;174.0;-99.5;0.0;top
U9;183.0;-99.5;0.0;top
Y1;144.13;-876.905;270.0;top
Y2;144.55;-827.805;90.0;top
